month,channel,subscribers,growth,avg_reach,err,vrpost
2026-03,@kts_specials,,,758.7,4.48,212.53
2026-03,@metaclass,,,1213.8,2.33,100.48
2026-03,@inside_ai_tech,,,998.0,2.52,32.84
2026-03,@ktsdaily,,,1568.2,2.42,39.68
2026-03,@smartbotpro,,,288.0,3.97,48.0
2026-03,@kod_v_kaske,,,391.8,3.22,125.98
2026-04,@kts_specials,,,316.5,9.91,84.86
2026-04,@metaclass,,,1068.0,2.49,88.34
2026-04,@inside_ai_tech,,,744.1,3.72,24.74
2026-04,@ktsdaily,,,1191.2,2.15,30.07
2026-04,@smartbotpro,,,201.0,5.41,33.67
2026-04,@kod_v_kaske,,,375.2,5.66,116.17
2026-05,@kts_specials,,,397.1,8.96,105.06
2026-05,@metaclass,,,1151.2,3.61,96.09
2026-05,@inside_ai_tech,,,1126.4,1.85,43.47
2026-05,@ktsdaily,,,1310.0,2.66,32.99
2026-05,@smartbotpro,,,198.0,6.31,33.0
2026-05,@kod_v_kaske,,,504.8,4.03,153.44
2026-06,@kts_specials,,,450.3,9.58,95.0
2026-06,@metaclass,,,1103.3,3.35,85.66
2026-06,@inside_ai_tech,,,820.4,2.8,20.84
2026-06,@ktsdaily,,,1249.9,2.79,31.36
2026-06,@smartbotpro,,,171.3,6.29,28.27
2026-06,@kod_v_kaske,,,201.3,8.09,59.73
2026-07,@kts_specials,,,450.8,10.6,91.26
2026-07,@metaclass,,,963.0,2.65,76.86
2026-07,@inside_ai_tech,,,882.5,2.05,20.58
2026-07,@ktsdaily,,,929.2,2.41,23.04
2026-07,@smartbotpro,,,152.1,5.19,25.23
2026-07,@kod_v_kaske,,,202.9,8.07,59.49
